Orthogroup,Mean_dN,Mean_dS,Mean_Omega,Ct_LMG19424.IS.tmp.45428,Pp_PsJN.IS.tmp.45708,Rs_068_2.IS.tmp.45974,Rs_071-2.IS.tmp.46234,Rs_077-080_1.IS.tmp.46490,Rs_095-3.IS.tmp.46746,Rs_102-3.IS.tmp.47027,Rs_115-4.IS.tmp.47283,Rs_144-1.IS.tmp.47548,Rs_AHR56.IS.tmp.47805,Rs_Bs715.IS.tmp.48082,Rs_CFBP2957.IS.tmp.48339,Rs_CIAT_078.IS.tmp.48596,Rs_FJAT1458F1.IS.tmp.48854,Rs_FJAT1458F50.IS.tmp.49132,Rs_FJAT1463F1.IS.tmp.49397,Rs_FJAT1463F50.IS.tmp.49711,Rs_FJAT15249F1.IS.tmp.49968,Rs_FJAT15249F50.IS.tmp.50225,Rs_FJAT15252F1.IS.tmp.50481,Rs_FJAT15252F50.IS.tmp.50741,Rs_FJAT448F1.IS.tmp.50998,Rs_FJAT448F50.IS.tmp.51254,Rs_FJAT454F1.IS.tmp.51509,Rs_IBSBF.IS.tmp.52041,Rs_IBSBF1503.IS.tmp.51785,Rs_KACC.IS.tmp.52297,Rs_MolK2.IS.tmp.52573,Rs_NCSU_Rs32.IS.tmp.52829,Rs_NCSU_Rs45488.IS.tmp.53085,Rs_NCSU_RsMR-FL01.IS.tmp.53341,Rs_P597.IS.tmp.53597,Rs_P673.IS.tmp.53853,Rs_Po82.IS.tmp.54132,Rs_RS_v1.IS.tmp.54648,Rs_RS_v2.IS.tmp.54904,Rs_Rs5.IS.tmp.54388,Rs_SL2064.IS.tmp.55181,Rs_SL2312.IS.tmp.55447,Rs_SL3175.IS.tmp.55703,Rs_T101.IS.tmp.55958,Rs_T11.IS.tmp.56236,Rs_T12.IS.tmp.56492,Rs_T51.IS.tmp.56748,Rs_T60.IS.tmp.57003,Rs_T78.IS.tmp.57259,Rs_T82.IS.tmp.57514,Rs_T95.IS.tmp.57770,Rs_T98.IS.tmp.58026,Rs_UW163.IS.tmp.58287,Rs_UY031.IS.tmp.58564,Rs_Wj644.IS.tmp.58819
OG0002573,0.0736291327728308,0.0340488530959039,2.7168067226890757,,,3241,3240,3243,3238,3240,3242,3238,3379,4440,3169,3337,3708,3711,3712,3711,3710,3712,3709,3709,3658,3666,3655,3250,4678,3261,2679,3675,3987,3880,4276,3247,3231,3139,3139,4173,3271,3179,3228,3176,3242,3239,3197,3611,3669,3168,3260,3230,3285,3137,3688
OG0002574,0.0786018017717716,0.0271336904679765,3.3026808703279293,,,3243,3242,3245,3240,3242,3244,3240,3381,4442,3171,3335,3710,3713,3714,3713,3712,3714,3711,3711,3660,3668,3657,3252,4676,3263,2681,3673,3989,3882,4274,3249,3233,3141,3141,4171,3273,3181,3230,3178,3244,3241,3199,3613,3671,3170,3262,3232,3283,3139,3690
OG0002575,0.0687107507082995,0.0408207375837259,2.203516057585825,,,3245,3244,3247,3242,3244,3246,3242,3383,4444,3173,3333,3712,3715,3716,3715,3714,3716,3713,3713,3662,3670,3659,3254,4674,3265,2683,3671,3991,3884,4272,3251,3235,3143,3143,4169,3275,3183,3232,3180,3246,3243,3201,3615,3673,3172,3264,3234,3281,3141,3692
OG0002576,0.0643575793268298,0.0364462041848226,2.087854586621888,,,3253,3252,3255,3250,3252,3254,3250,3391,4451,3181,3325,3719,3722,3723,3722,3721,3723,3720,3720,3669,3677,3666,3262,4666,3275,2690,3663,3999,3892,4263,3259,3243,3151,3150,4161,3285,3193,3243,3190,3256,3253,3211,3622,3680,3182,3274,3245,3273,3148,3699
OG0002577,0.0852895445188056,0.0305223127665519,3.2914100419131382,,,3267,3266,3269,3264,3266,3268,3264,3400,4260,3191,3311,5139,5140,5143,5142,5140,5143,5141,5140,5091,5102,5088,3276,4652,3067,2704,3654,4008,3901,4253,3273,3257,3164,3164,4138,3077,2993,3028,2989,3048,3044,3003,5039,5095,2982,3066,3030,3259,3161,3918
OG0002578,0.083110915780824,0.0357788293481987,2.742661994867877,,,3268,3267,3270,3265,3267,3269,3265,3401,4259,3192,3310,5138,5139,5142,5141,5139,5142,5140,5139,5090,5101,5087,3277,4651,3068,2705,3653,4009,3902,4252,3274,3258,3165,3165,4137,3078,2994,3029,2990,3049,3045,3004,5038,5094,2983,3067,3031,3258,3162,3919
OG0002579,0.0877438422776223,0.0326887451210377,3.747789115646259,,,3269,3268,3271,3266,3268,3270,3266,3402,4258,3193,3309,5137,5138,5141,5140,5138,5141,5139,5138,5089,5100,5086,3278,4650,3069,2706,3652,4010,3903,4251,3275,3259,3166,3166,4136,3079,2995,3030,2991,3050,3046,3005,5037,5093,2984,3068,3032,3257,3163,3920
OG0002580,0.0696476964769647,0.0449864498644986,2.033333333333333,,,3270,3269,3272,3267,3269,3271,3267,3403,4257,3194,3308,5136,5137,5140,5139,5137,5140,5138,5137,5088,5099,5085,3279,4649,3070,2707,3651,4011,3904,4250,3276,3260,3167,3167,4135,3080,2996,3031,2992,3051,3047,3006,5036,5092,2985,3069,3033,3256,3164,3921
OG0002581,0.0797846216973645,0.0384743922370486,2.5004819798937445,,,3272,3271,3274,3269,3271,3273,3269,3405,4456,3196,3306,3737,3740,3741,3740,3739,3741,3738,3738,3687,3695,3684,3281,4647,3290,2709,3649,4013,3906,4248,3278,3262,3169,3169,4133,3300,3208,3258,3205,3271,3269,3226,3627,3685,3197,3289,3260,3254,3166,3704
OG0002582,0.0781253753423396,0.0351024720242854,2.9337885154061625,,,3318,3317,3320,3544,3548,3319,3315,3447,4489,3237,4810,3769,3772,3773,3772,3771,3773,3770,3770,3719,3727,3716,3327,4604,3340,2748,3610,4055,3948,4200,3323,3307,3204,3204,4089,3350,3240,3290,3238,3321,3302,3276,3661,3718,3229,3339,3292,4718,3201,3737
OG0002583,0.0791800479334143,0.0432632012317463,2.32718253968254,,,3374,3373,3376,3498,3502,3375,3371,3472,4532,3286,4756,3810,3813,3814,3813,3812,3814,3811,3811,3760,3768,3757,3381,4561,3367,4440,3566,4095,3993,4153,3371,3361,3249,3247,4061,3378,3269,3311,3267,3349,3331,3304,3702,3759,3258,3366,3313,4662,3246,3778
OG0002584,0.064445071538187,0.0350469952281056,2.422256175197352,,,3383,3382,3385,3489,3493,3384,3380,3481,4542,3295,4747,3820,3823,3824,3823,3822,3824,3821,3821,3770,3778,3767,3390,4552,3376,4431,3557,4104,4002,4144,3380,3370,4626,4628,4052,3387,3278,3320,3276,3358,3340,3313,3712,3769,3267,3375,3322,4653,4625,3788
OG0002585,0.0711461021216387,0.0387583324354504,2.195446240531279,,,3388,3387,3390,3484,3488,3389,3385,3487,4552,3308,4745,3831,3834,3835,3834,3833,3835,3832,3832,3781,3789,3778,3395,4547,3379,4427,3551,4110,4009,4132,3384,3375,4621,4622,4046,3390,3281,3329,3279,3361,3343,3316,3722,3779,3270,3378,3331,4648,4620,3799
OG0002586,0.0759568964893155,0.0338765664641972,2.899751253474658,,,3389,3388,3391,3483,3487,3390,3386,3488,4553,3309,4744,3832,3835,3836,3835,3834,3836,3833,3833,3782,3790,3779,3396,4546,3380,4426,3550,4111,4010,4131,3385,3376,4620,4621,4045,3391,3282,3330,3280,3362,3344,3317,3723,3780,3271,3379,3332,4647,4619,3800
OG0002587,0.0788123366022359,0.0314347654289345,3.726275510204082,,,3401,3400,3403,3471,3475,3402,3398,3498,4568,3322,4730,3847,3850,3851,3850,3849,3851,3848,3848,3797,3805,3794,3408,4534,3387,4411,3541,4121,4020,4117,3397,3388,3442,3437,4035,3398,3289,3345,3287,3369,3353,3324,3738,3795,3279,3386,3347,4635,3441,3817
OG0002588,0.062967206265116,0.0375198711948885,2.203960317460317,,,3405,3404,3407,3467,3471,3406,3402,3503,4572,3327,4726,3851,3854,3855,3854,3853,3855,3852,3852,3801,3809,3798,3412,4530,3392,4405,3535,4126,4025,4112,3402,3392,3448,3443,4030,3403,3294,3350,3292,3374,3358,3329,3742,3799,3284,3391,3352,4631,3447,3821
OG0002589,0.0820037479443957,0.0306297925161705,3.090599758085052,,,3408,3407,3410,3464,3468,3409,3405,3506,4584,3330,4723,3866,3869,3870,3869,3868,3870,3867,3867,3816,3824,3813,3415,4527,3395,4402,3532,4129,4028,4102,3405,3395,3458,3453,4027,3406,3304,3353,3302,3377,3368,3332,3754,3811,3294,3394,3355,4628,3457,3836
OG0002590,0.0801224395160813,0.0309341698804177,3.3599196914196914,,,3462,3460,3464,3411,3415,3462,3458,3535,4628,3381,4669,3911,3914,3915,3914,3913,3915,3913,3912,3861,3869,3858,3469,4474,3452,4354,3502,4161,4061,4053,3458,3449,3508,3505,3994,3463,3362,3419,3360,3434,3430,3392,3799,3856,3352,3451,3418,4575,3507,3882
OG0002591,0.081654846752628,0.0330048227033649,3.414963624338624,,,3466,3464,3468,3407,3411,3466,3462,3539,4632,3385,4665,3915,3918,3919,3918,3917,3919,3917,3916,3865,3873,3862,3473,4470,3456,4350,3498,4165,4065,4049,3462,3453,3512,3509,3990,3467,3366,3423,3364,3438,3434,3396,3803,3860,3356,3455,3422,4571,3511,3886
OG0002592,0.0778925672563263,0.03776292663863,2.388932694289837,,,3467,3465,3469,3406,3410,3467,3463,3540,4633,3386,4664,3916,3919,3920,3919,3918,3920,3918,3917,3866,3874,3863,3474,4469,3457,4349,3497,4166,4066,4048,3463,3454,3513,3510,3989,3468,3367,3424,3365,3439,3435,3397,3804,3861,3357,3456,3423,4570,3512,3887
OG0002593,0.0805951209219305,0.0384354504452583,2.3637863664113663,,,3488,3486,3490,3385,3389,3488,3484,3554,4646,3408,4643,3929,3932,3933,3932,3931,3933,3931,3930,3879,3887,3876,3495,4447,3465,4331,3483,4180,4079,4027,3483,3475,3528,3525,3975,3476,3374,3431,3373,3447,3443,3405,3817,3874,3365,3464,3430,4549,3527,5203
OG0002594,0.0845062925991118,0.0289643974127927,3.7409090909090903,,,3504,3502,3506,3369,3373,3504,3500,3571,4655,3425,4627,3937,3940,3941,3940,3939,3941,3939,3938,3887,3895,3884,3510,4431,3481,814,3466,4198,4096,4010,3498,3490,3282,3278,3958,3492,3390,3447,3389,3463,3460,3421,3825,3883,3381,3480,3446,4531,3281,5195
OG0002595,0.0820757739111737,0.0369753995328932,2.853447204722715,,,3505,3503,3507,3368,3372,3505,3501,3572,4656,3426,4626,3938,3941,3942,3941,3940,3942,3940,3939,3888,3896,3885,3511,4430,3482,815,3465,4199,4097,4009,3499,3491,3283,3279,3957,3493,3391,3448,3390,3464,3461,3422,3826,3884,3382,3481,3447,4530,3282,5194
OG0002596,0.0784607469115069,0.0291761205860435,3.524439840871413,,,3506,3504,3508,3367,3371,3506,3502,3576,4660,3430,4625,3942,3945,3946,3945,3944,3946,3944,3943,3892,3900,3889,3512,4429,3486,819,3461,4203,4101,4005,3500,3492,3287,3283,3953,3497,3395,3452,3394,3468,3465,3426,3830,3888,3386,3485,3451,4529,3286,5190
OG0002597,0.0584513731168142,0.0391312268150503,1.816474025974026,,,3519,3517,3521,3354,3358,3519,3515,3713,4813,3601,4612,4101,4103,4105,4104,4103,4105,4103,4102,4051,4060,4048,3525,4288,3599,976,3305,4344,4237,4567,3647,3505,3648,3642,3798,3611,3561,3575,3560,3582,3643,3540,3983,4043,3551,3599,3574,4516,3646,4915
OG0002598,0.0609951354872721,0.0337907496413485,2.132386002886003,,,3532,3530,3534,3341,3345,3532,3528,3726,4819,3613,4599,4107,4109,4111,4110,4109,4111,4109,4108,4057,4066,4054,3538,4275,3605,989,3292,4357,4250,4579,3660,3518,3661,3654,3785,3617,3567,3581,3566,3588,3649,3546,3989,4049,3557,3605,3580,4503,3659,4909
OG0002599,0.0779180502234973,0.034156806881229,2.887280718148065,,,3539,3537,3541,3334,3338,3539,3535,3733,4832,3620,4592,4122,4124,4126,4125,4124,4126,4124,4123,4072,4081,4069,3545,4268,3613,996,4734,4364,4257,4586,3667,3525,3668,3661,3778,3626,3575,3589,3574,3596,3657,3554,4002,4062,3565,3613,3588,4496,3666,4896
OG0002600,0.0632674181164747,0.0391553540798823,1.8323690476190475,,,3546,3544,3548,3327,3331,3546,3542,3740,4839,3627,4583,4129,4131,4133,4132,4131,4133,4131,4130,4079,4088,4076,3552,4261,3620,1003,4727,4371,4264,4593,3674,3532,3675,3668,3771,3634,3582,3596,3581,3603,3663,3561,4009,4069,3572,3620,3595,4489,3673,4889
OG0002601,0.0764403083275436,0.0481082715468267,1.9179461452898956,,,3557,3555,3559,3316,3319,3557,3553,3751,4855,3638,4571,4145,4147,4149,4148,4147,4149,4147,4146,4095,4104,4092,3565,4250,3631,1013,4716,4382,4275,4604,3686,3545,3689,3681,3760,3645,3594,3607,3593,3614,3674,3572,4028,4085,3584,3631,3606,4477,3687,4873
OG0002602,0.0849384559959348,0.0315822872655881,3.429078014184397,,,3560,3558,3562,3313,3316,3560,3556,3755,4858,3642,4568,4148,4150,4152,4151,4150,4152,4150,4149,4098,4107,4095,3568,4247,3634,1016,4712,4386,4279,4608,3689,3548,3692,3685,3756,3648,3597,3610,3596,3617,3677,3575,4031,4088,3587,3634,3609,4474,3690,4870
OG0002603,0.081517788592305,0.0389165549753387,2.8772113164613167,,,3564,3562,3566,3309,3312,3564,3560,3759,4862,3646,4564,4152,4154,4156,4155,4154,4156,4154,4153,4102,4111,4099,3572,4243,3638,1020,4708,4390,4283,4612,3693,3552,3696,3690,3752,3652,3601,3614,3600,3621,3681,3579,4035,4092,3591,3638,3613,4470,3694,4866
OG0002604,0.0824968696323819,0.0341072963151536,2.9895400432900434,,,3640,3637,3641,3625,3629,3639,3636,4645,4285,4723,3650,5163,5164,5167,5166,5164,5167,5165,5164,5115,5127,5112,3645,3312,4605,4532,3830,3816,3720,4453,4697,3624,3558,3555,4340,4614,4563,4648,4569,4592,4686,4547,5064,5123,4550,4605,4648,3589,3557,5219
OG0002605,0.0651614451111659,0.0550632640628518,1.602121801101393,,,3666,3663,3667,3651,3655,3665,3662,4608,3754,4695,3676,4510,4511,4514,4513,4512,4514,4512,4511,4460,4470,4457,3671,3338,4534,4503,3867,3779,3683,4481,4670,3650,3586,3582,4377,4544,4475,4570,4483,4521,4595,4476,4528,4586,4463,4535,4570,3615,3585,4427
OG0002606,0.0657867274455328,0.0432449827306187,1.7145625208125208,,,3667,3664,3668,3652,3656,3666,3663,4607,3753,4694,3677,4511,4512,4515,4514,4513,4515,4513,4512,4461,4471,4458,3672,3339,4533,4502,3868,3778,3682,4482,4669,3651,3587,3583,4378,4543,4474,4569,4482,4520,4594,4475,4527,4585,4462,4534,4569,3616,3586,4428
OG0002607,0.0783872571720022,0.0383378690764086,2.418297188922189,,,3668,3665,3669,3653,3657,3667,3664,4606,3752,4693,3678,4512,4513,4516,4515,4514,4516,4514,4513,4462,4472,4459,3673,3340,4532,4501,3869,3777,3681,4483,4668,3652,3588,3584,4379,4542,4473,4568,4481,4519,4593,4474,4526,4584,4461,4533,4568,3617,3587,4429
OG0002608,0.0786345861863289,0.0393101687601253,2.33905303030303,,,3687,3684,3688,3672,3676,3686,3683,4587,4248,4675,3697,5129,5130,5133,5132,5130,5133,5131,5130,5081,5092,5078,3692,3359,4515,4482,3888,3758,3663,4502,4649,3671,3607,3603,4398,4525,4456,4552,4464,4502,4576,4457,5027,5083,4444,4516,4552,3636,3606,3928
OG0002609,0.0796425674460412,0.0325720399070712,2.788675074925075,,,3691,3688,3692,3676,3680,3690,3687,4583,4245,4671,3701,5126,5127,5130,5129,5127,5130,5128,5127,5078,5089,5075,3696,3363,4009,4479,3892,3754,3659,4506,4645,3675,3611,3606,4402,4022,3965,3988,3971,3994,4061,3951,5023,5080,3955,4009,3987,3640,3610,3931
OG0002610,0.0860872004477211,0.0263429168358601,4.158548632218845,,,3693,3690,3694,3678,3682,3692,3689,4581,4243,4669,3703,5124,5125,5128,5127,5125,5128,5126,5125,5076,5087,5073,3698,3365,4011,4477,3894,3752,3657,4508,4643,3677,3613,3608,4404,4024,3967,3990,3973,3996,4063,3953,5021,5078,3957,4011,3989,3642,3612,3933
OG0002611,0.0526094276094276,0.0479797979797979,1.3207070707070707,,,3695,3692,3696,3680,3684,3694,3691,4579,4241,4667,3705,5122,5123,5126,5125,5123,5126,5124,5123,5074,5085,5071,3700,3367,4013,4475,3896,3750,3655,4510,4641,3679,3615,3610,4406,4026,3969,3992,3975,3998,4065,3955,5019,5076,3959,4013,3991,3644,3614,3935
OG0002612,0.0697446061233449,0.0336384205495523,2.9929786200194366,,,3696,3693,3697,3681,3685,3695,3692,4578,4240,4666,3706,5121,5122,5125,5124,5122,5125,5123,5122,5073,5084,5070,3701,3368,4014,4474,3897,3749,3654,4511,4640,3680,3616,3611,4407,4027,3970,3993,3976,3999,4066,3956,5018,5075,3960,4014,3992,3645,3615,3936
OG0002613,0.0750268281183059,0.030561839729531,3.1767817460317462,,,3697,3694,3698,3682,3686,3696,3693,4577,4239,4665,3707,5120,5121,5124,5123,5121,5124,5122,5121,5072,5083,5069,3702,3369,4015,4473,3898,3748,3653,4512,4639,3681,3617,3612,4408,4028,3971,3994,3977,4000,4067,3957,5017,5074,3961,4015,3993,3646,3616,3937
OG0002614,0.0687076891604261,0.0363128894011574,2.2759151279559444,,,3703,3700,3704,3688,3692,3702,3699,4571,4108,4659,3713,4262,4263,4266,4265,4264,4266,4264,4263,4212,4221,4208,3708,3375,4395,4467,3904,3742,3647,4518,4633,3687,3623,3618,4414,4406,4342,4419,4349,4382,4457,4337,4884,4943,4329,4395,4419,3652,3622,4071
OG0002615,0.0781996810770244,0.0297190987409922,3.0872541347541347,,,3808,3804,3809,3795,3799,3807,3806,4516,4197,4554,4474,5077,5078,5081,5080,5078,5081,5079,5078,5029,5040,5026,3814,3472,4457,1775,3963,3677,3591,4871,4526,3793,4534,4533,4468,4467,4403,4489,4410,4443,4522,4399,4975,5032,4391,4458,4489,4387,4533,3983
OG0002616,0.0770676792711601,0.0367309235391208,2.504496031746032,,,3814,3810,3815,3801,3805,3813,3812,4510,4172,4547,4468,5052,5053,5056,5055,5053,5056,5054,5053,5004,5015,5001,3820,3478,4447,1762,3970,3670,3585,4878,4520,3799,4521,4520,4475,4457,4393,4473,4400,4433,4511,4389,4950,5007,4381,4448,4473,4381,4520,4008
OG0002617,0.0642812311961856,0.0437761789764492,1.7893755337632888,,,3857,3853,3858,3844,3848,3856,4600,4470,4107,4503,4424,4263,4264,4267,4266,4265,4267,4265,4264,4213,4222,4209,3864,3521,4394,1720,4008,3630,3550,4922,4477,3843,4369,4369,4510,4405,4341,4418,4348,4381,4456,4336,4883,4942,4328,4394,4418,4338,4368,4072
OG0002618,0.0756347246798294,0.0281208018379757,3.4048984179086217,,,3864,3860,3865,3851,3855,3863,4593,4463,4100,4496,4417,4270,4271,4274,4273,4272,4274,4272,4271,4220,4229,4216,3872,3528,4387,1713,4015,3623,3543,4929,4470,3850,4362,4362,4517,4398,4334,4411,4341,4374,4449,4329,4876,4935,4321,4387,4411,4331,4361,4079
OG0002619,0.0825576381993679,0.0357278972409459,2.6315286754062264,,,3865,3861,3866,3852,3856,3864,4592,4462,4099,4495,4416,4271,4272,4275,4274,4273,4275,4273,4272,4221,4230,4217,3873,3529,4386,1712,4016,3622,3542,4930,4469,3851,4361,4361,4518,4397,4333,4410,4340,4373,4448,4328,4875,4934,4320,4386,4410,4330,4360,4080
OG0002620,0.0756333094413118,0.0404076009151354,2.354515873015873,,,3867,3863,3868,3854,3858,3866,4590,4460,4094,4493,4414,4276,4277,4280,4279,4278,4280,4278,4277,4226,4235,4222,3875,3531,4384,1710,4018,3620,3540,4932,4467,3853,4359,4359,4520,4395,4329,4407,4336,4371,4444,4326,4870,4929,4316,4384,4407,4328,4358,4090
OG0002621,0.082366099536492,0.0338331330109498,3.545403846153846,,,3868,3864,3869,3855,3859,3867,4589,4459,4093,4492,4413,4277,4278,4281,4280,4279,4281,4279,4278,4227,4236,4223,3876,3532,4383,1709,4019,3619,3539,4933,4466,3854,4358,4358,4521,4394,4328,4406,4335,4370,4443,4325,4869,4928,4315,4383,4406,4327,4357,4091
OG0002622,0.0686838071348941,0.0333693329617242,2.6914186507936506,,,3869,3865,3870,3856,3860,3868,4588,4458,4092,4491,4412,4278,4279,4282,4281,4280,4282,4280,4279,4228,4237,4224,3877,3533,4382,1708,4020,3618,3538,4934,4465,3855,4357,4357,4522,4393,4327,4405,4334,4369,4442,4324,4868,4927,4314,4382,4405,4326,4356,4092
OG0002623,0.0767988371154001,0.0336886591832889,2.9166666666666665,,,3870,3866,3871,3857,3861,3869,4587,4457,4091,4490,4411,4279,4280,4283,4282,4281,4283,4281,4280,4229,4238,4225,3878,3534,4381,1707,4021,3617,3537,4935,4464,3856,4356,4356,4523,4392,4326,4404,4333,4368,4441,4323,4867,4926,4313,4381,4404,4325,4355,4093
OG0002624,0.0677639446790492,0.032155636427446,2.908730158730159,,,3885,3881,3886,3872,3876,3884,4572,4443,4071,4477,4396,4299,4300,4303,4302,4301,4303,4301,4300,4249,4258,4245,3893,3549,4366,1693,4036,3602,3523,4948,4449,3871,4425,4425,4538,4378,4311,4389,4318,4353,4425,4308,4847,4906,4298,4366,4389,4310,4424,4113
OG0002625,0.0754394832457702,0.0303504752025703,3.3456433637284704,,,3886,3882,3887,3873,3877,3885,4571,4442,4070,4476,4395,4300,4301,4304,4303,4302,4304,4302,4301,4250,4259,4246,3894,3550,4365,1692,4037,3601,3522,4949,4448,3872,4424,4424,4539,4377,4310,4388,4317,4352,4424,4307,4846,4905,4297,4365,4388,4309,4423,4114
OG0002626,0.0638801773771357,0.0343114185412433,2.3223090277777776,,,3889,3885,3890,3876,3880,3888,4568,4438,4065,4472,4392,4305,4306,4309,4308,4307,4309,4307,4306,4255,4264,4251,3897,3553,4363,1687,4041,3597,3518,4953,4445,3875,4420,4420,4543,4375,4308,4383,4315,4350,4422,4305,4841,4900,4295,4363,4383,4306,4419,4119
OG0002627,0.082561038560822,0.0328110937665945,3.145294733044733,,,3891,3887,3892,3878,3882,3890,4566,4436,4063,4470,4390,4307,4308,4311,4310,4309,4311,4309,4308,4257,4266,4253,3899,3555,4361,1685,4043,3595,3516,4955,4443,3877,4418,4418,4545,4373,4306,4381,4313,4348,4420,4303,4839,4898,4293,4361,4381,4304,4417,4121
OG0002628,0.0822009468110091,0.0319209520318391,3.991856060606061,,,3895,3891,3896,3882,3886,3894,4562,4432,4059,4466,4386,4311,4312,4315,4314,4313,4315,4313,4312,4261,4270,4257,3903,3559,4357,1681,4047,3591,3512,4959,4439,3881,4414,4414,4549,4369,4302,4377,4309,4344,4416,4299,4835,4894,4289,4357,4377,4300,4413,4125
OG0002629,0.0849520481538931,0.0302862815667573,3.943290411402656,,,3896,3892,3897,3883,3887,3895,4561,4431,4058,4465,4385,4312,4313,4316,4315,4314,4316,4314,4313,4262,4271,4258,3904,3560,4356,1680,4048,3590,3511,4960,4438,3882,4413,4413,4550,4368,4301,4376,4308,4343,4415,4298,4834,4893,4288,4356,4376,4299,4412,4126
OG0002630,0.0794746261828299,0.0328265735809409,3.0229614829614837,,,3897,3893,3898,3884,3888,3896,4560,4430,4057,4464,4384,4313,4314,4317,4316,4315,4317,4315,4314,4263,4272,4259,3905,3561,4355,1679,4049,3589,3510,4961,4437,3883,4412,4412,4551,4367,4300,4375,4307,4342,4414,4297,4833,4892,4287,4355,4375,4298,4411,4127
OG0002631,0.0824837204051442,0.0337072126376638,3.0548843296183725,,,3899,3895,3900,3886,3890,3898,4558,4428,4055,4462,4382,4315,4316,4319,4318,4317,4319,4317,4316,4265,4274,4261,3907,3563,4353,1677,4051,3587,3508,4963,4435,3885,4410,4410,4553,4365,4298,4373,4305,4340,4412,4295,4831,4890,4285,4353,4373,4296,4409,4129
OG0002632,0.0803762439391803,0.030841812795499,3.4292023809523813,,,3912,3908,3913,3899,3903,3911,4545,4415,4042,4449,4369,4329,4330,4333,4332,4331,4333,4331,4330,4279,4288,4275,3920,3576,4340,1664,4064,3574,3495,4976,4422,3898,4397,4397,4568,4352,4285,4360,4292,4327,4399,4282,4818,4877,4272,4340,4360,4283,4396,4142
OG0002633,0.0794861028856294,0.0274558753001617,3.65185860058309,,,3913,3909,3914,3900,3904,3912,4544,4414,4041,4448,4368,4330,4331,4334,4333,4332,4334,4332,4331,4280,4289,4276,3921,3577,4339,1663,4065,3573,3494,4977,4421,3899,4396,4396,4569,4351,4284,4359,4291,4326,4398,4281,4817,4876,4271,4339,4359,4282,4395,4143
OG0002634,0.0649696048632218,0.0382320918205325,2.106560283687944,,,3914,3910,3915,3901,3905,3913,4543,4413,4040,4447,4367,4331,4332,4335,4334,4333,4335,4333,4332,4281,4290,4277,3922,3578,4338,1662,4066,3572,3493,4978,4420,3900,4395,4395,4570,4350,4283,4358,4290,4325,4397,4280,4816,4875,4270,4338,4358,4281,4394,4144
OG0002635,0.0556259405232983,0.0357418925727583,1.9304167771004508,,,3916,3912,3917,3903,3907,3915,4541,4411,4038,4445,4365,4333,4334,4337,4336,4335,4337,4335,4334,4283,4292,4279,3924,3580,4336,1660,4068,3570,3491,4980,4418,3902,4393,4393,4572,4348,4281,4356,4288,4323,4395,4278,4814,4873,4268,4336,4356,4279,4392,4146
OG0002636,0.0709701295400602,0.0380686451737639,2.177777199528005,,,3958,3954,3958,3944,3948,3956,4500,4383,4011,4410,4323,4966,4967,4970,4969,4967,4970,4968,4967,4918,4929,4915,3966,3619,4317,1617,4097,3533,3464,5017,4379,3943,4302,4302,4599,4329,4263,4329,4270,4304,4376,4259,4787,4846,4250,4317,4329,4238,4301,4173
OG0002637,0.0769998909372566,0.0355142319150933,2.765002429543246,,,3960,3956,3960,3946,3950,3958,4498,4379,4010,4408,4321,4965,4966,4969,4968,4966,4969,4967,4966,4917,4928,4914,3968,3621,4316,1615,4099,3531,3460,5019,4377,3945,4300,4300,4601,4328,4262,4328,4269,4303,4375,4258,4786,4845,4249,4316,4328,4236,4299,4174
OG0002638,0.0720784063719225,0.0408566831098786,2.426704729510852,,,3968,3964,3968,3954,3958,3966,4490,4370,4002,4399,4313,4957,4958,4961,4960,4958,4961,4959,4958,4909,4920,4906,3976,3629,4308,1607,4108,3522,3451,5028,4369,3953,4292,4291,4610,4320,4254,4320,4261,4295,4366,4250,4778,4837,4241,4308,4320,4228,4291,4185
OG0002639,0.0761515127693764,0.037392884718662,2.5088240274464764,,,3990,3986,3990,3976,3980,3988,4468,4347,3975,4369,4289,4931,4932,4935,4934,4932,4935,4933,4932,4883,4894,4880,3998,3651,4284,1584,4131,3499,3428,3214,4347,3975,4265,4263,4633,4296,4229,4295,4236,4271,4339,4226,4752,4811,4216,4284,4295,4206,4264,4211
OG0002640,0.0794088633804377,0.0268057853630011,3.870918367346939,,,3998,3994,3998,3984,3988,3996,4460,4340,3962,4362,4281,4918,4919,4922,4921,4919,4922,4920,4919,4870,4881,4867,4006,3659,4271,1576,4138,3492,3421,3221,4339,3983,4257,4255,4640,4283,4216,4282,4222,4257,4324,4213,4739,4798,4203,4271,4282,4198,4256,4224
OG0002641,0.0721792780135905,0.0413626307492603,2.067534574902222,,,4001,3997,4001,3987,3991,3999,4457,4337,3959,4359,4278,4915,4916,4919,4918,4916,4919,4917,4916,4867,4878,4864,4009,3662,4268,1573,4141,3489,3418,3224,4336,3986,4254,4252,4643,4280,4213,4279,4219,4254,4321,4210,4736,4794,4200,4268,4279,4195,4253,4227
OG0002642,0.0751018176494637,0.0389739144717461,2.8076935536119207,,,4002,3998,4002,3988,3992,4000,4456,4336,3958,4358,4277,4914,4915,4918,4917,4915,4918,4916,4915,4866,4877,4863,4010,3663,4267,1572,4142,3488,3417,3225,4335,3987,4253,4251,4644,4279,4212,4278,4218,4253,4320,4209,4735,4793,4199,4267,4278,4194,4252,4228
