"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","BHKY","BuffGH_2022","EaSmR","ICMP5845","MDCuke_2022","PSU-1","SCR3"
"group_4536","","hypothetical protein","6","6","1","4","5416","1","2273","","878","878","878","POCPNIHP_00187","JKPFCNPL_00192","","PNIFCKEH_01546","JIDLLDEG_00100","EJNDHMEK_02955","MAOBNCNO_00102"
"group_4537","","hypothetical protein","6","6","1","4","5414","1","2271","","1121","1121","1121","POCPNIHP_00189","JKPFCNPL_00194","","PNIFCKEH_01548","JIDLLDEG_00102","EJNDHMEK_02953","MAOBNCNO_00104"
"invA","","Invasion protein InvA","6","6","1","4","5413","1","2270","","2054","2054","2054","POCPNIHP_00190","JKPFCNPL_00195","","PNIFCKEH_01549","JIDLLDEG_00103","EJNDHMEK_02952","MAOBNCNO_00105"
"group_4539","","hypothetical protein","6","6","1","4","5410","1","2266","","461","461","461","POCPNIHP_00193","JKPFCNPL_00198","","PNIFCKEH_01553","JIDLLDEG_00106","EJNDHMEK_02949","MAOBNCNO_00108"
"group_4540","","hypothetical protein","6","6","1","4","5409","1","2265","","908","908","908","POCPNIHP_00194","JKPFCNPL_00199","","PNIFCKEH_01554","JIDLLDEG_00107","EJNDHMEK_02948","MAOBNCNO_00109"
"spaP","","Surface presentation of antigens protein SpaP","6","6","1","4","5407","1","2263","","671","671","671","POCPNIHP_00196","JKPFCNPL_00201","","PNIFCKEH_01556","JIDLLDEG_00109","EJNDHMEK_02946","MAOBNCNO_00111"
"spaQ_1","","Surface presentation of antigens protein SpaQ","6","6","1","4","5406","1","2262","","254","254","254","POCPNIHP_00197","JKPFCNPL_00202","","PNIFCKEH_01557","JIDLLDEG_00110","EJNDHMEK_02945","MAOBNCNO_00112"
"spaR_1","","Surface presentation of antigens protein SpaR","6","6","1","4","5405","1","2261","","764","764","764","POCPNIHP_00198","JKPFCNPL_00203","","PNIFCKEH_01558","JIDLLDEG_00111","EJNDHMEK_02944","MAOBNCNO_00113"
"spaS","","Surface presentation of antigens protein SpaS","6","6","1","4","5404","1","2260","","1091","1091","1091","POCPNIHP_00199","JKPFCNPL_00204","","PNIFCKEH_01559","JIDLLDEG_00112","EJNDHMEK_02943","MAOBNCNO_00114"
"sicA","","Chaperone protein SicA","6","6","1","4","5403","1","2259","","536","536","536","POCPNIHP_00200","JKPFCNPL_00205","","PNIFCKEH_01560","JIDLLDEG_00113","EJNDHMEK_02942","MAOBNCNO_00115"
"group_4546","","hypothetical protein","6","6","1","4","5402","1","2258","","1871","1871","1871","POCPNIHP_00201","JKPFCNPL_00206","","PNIFCKEH_01561","JIDLLDEG_00114","EJNDHMEK_02941","MAOBNCNO_00116"
"group_4547","","hypothetical protein","6","6","1","4","5401","1","2257","","1205","1205","1205","POCPNIHP_00202","JKPFCNPL_00207","","PNIFCKEH_01562","JIDLLDEG_00115","EJNDHMEK_02940","MAOBNCNO_00117"
"group_4548","","hypothetical protein","6","6","1","4","5400","1","2256","","1178","1178","1178","POCPNIHP_00203","JKPFCNPL_00208","","PNIFCKEH_01563","JIDLLDEG_00116","EJNDHMEK_02939","MAOBNCNO_00118"
"group_4549","","hypothetical protein","6","6","1","4","5397","1","2254","","269","269","269","POCPNIHP_00205","JKPFCNPL_00210","","PNIFCKEH_01566","JIDLLDEG_00118","EJNDHMEK_02937","MAOBNCNO_00120"
"yhjE","","Inner membrane metabolite transport protein YhjE","6","6","1","4","5392","1","2247","","1328","1328","1328","POCPNIHP_00209","JKPFCNPL_00214","","PNIFCKEH_01570","JIDLLDEG_00121","EJNDHMEK_02935","MAOBNCNO_00123"
"group_4552","","hypothetical protein","6","6","1","4","5390","1","2245","","155","155","155","POCPNIHP_00211","JKPFCNPL_00216","","PNIFCKEH_01572","JIDLLDEG_00122","EJNDHMEK_02934","MAOBNCNO_00124"
"group_4553","","hypothetical protein","6","6","1","4","5389","1","2244","","245","245","245","POCPNIHP_00212","JKPFCNPL_00217","","PNIFCKEH_01573","JIDLLDEG_00123","EJNDHMEK_02933","MAOBNCNO_00125"
"hin_1","","DNA-invertase hin","6","6","1","4","5388","1","2243","","176","176","176","POCPNIHP_00213","JKPFCNPL_00218","","PNIFCKEH_01574","JIDLLDEG_00124","EJNDHMEK_02932","MAOBNCNO_00126"
"mntP","","putative manganese efflux pump MntP","6","6","1","4","5386","1","2242","","674","674","674","POCPNIHP_00214","JKPFCNPL_00219","","PNIFCKEH_01576","JIDLLDEG_00126","EJNDHMEK_02930","MAOBNCNO_00127"
"fabG_1","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","6","6","1","4","5385","1","2241","","137","137","137","POCPNIHP_00215","JKPFCNPL_00220","","PNIFCKEH_01577","JIDLLDEG_00127","EJNDHMEK_02929","MAOBNCNO_00128"
"fabG_2","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","6","6","1","4","5384","1","2240","","452","452","452","POCPNIHP_00216","JKPFCNPL_00221","","PNIFCKEH_01578","JIDLLDEG_00128","EJNDHMEK_02928","MAOBNCNO_00129"
"group_4558","","hypothetical protein","6","6","1","4","5381","1","2237","","335","335","335","POCPNIHP_00219","JKPFCNPL_00224","","PNIFCKEH_01581","JIDLLDEG_00131","EJNDHMEK_02924","MAOBNCNO_00132"
"group_4559","","hypothetical protein","6","6","1","4","5380","1","2236","","452","452","452","POCPNIHP_00220","JKPFCNPL_00225","","PNIFCKEH_01582","JIDLLDEG_00132","EJNDHMEK_02923","MAOBNCNO_00133"
"group_4560","","hypothetical protein","6","6","1","4","5374","1","2231","","641","641","641","POCPNIHP_00225","JKPFCNPL_00230","","PNIFCKEH_01585","JIDLLDEG_00134","EJNDHMEK_02920","MAOBNCNO_00135"
"yesR","","Unsaturated rhamnogalacturonyl hydrolase YesR","6","6","1","4","5372","1","2228","","1139","1139","1139","POCPNIHP_00227","JKPFCNPL_00232","","PNIFCKEH_01587","JIDLLDEG_00136","EJNDHMEK_02918","MAOBNCNO_00137"
"adhP","","Alcohol dehydrogenase, propanol-preferring","6","6","1","4","5370","1","2225","","1013","1013","1013","POCPNIHP_00229","JKPFCNPL_00234","","PNIFCKEH_01589","JIDLLDEG_00138","EJNDHMEK_02915","MAOBNCNO_00139"
"group_4563","","hypothetical protein","6","6","1","4","5367","1","2223","","638","638","638","POCPNIHP_00231","JKPFCNPL_00236","","PNIFCKEH_01592","JIDLLDEG_00140","EJNDHMEK_02911","MAOBNCNO_00141"
"group_4564","","hypothetical protein","6","6","1","4","5364","1","2220","","491","491","491","POCPNIHP_00232","JKPFCNPL_00237","","PNIFCKEH_01593","JIDLLDEG_00141","EJNDHMEK_02910","MAOBNCNO_00142"
"pal_1","","Peptidoglycan-associated lipoprotein","6","6","1","4","5363","1","2219","","1484","1484","1484","POCPNIHP_00233","JKPFCNPL_00238","","PNIFCKEH_01594","JIDLLDEG_00142","EJNDHMEK_02909","MAOBNCNO_00143"
"group_4566","","hypothetical protein","6","6","1","4","5362","1","2218","","611","611","611","POCPNIHP_00234","JKPFCNPL_00239","","PNIFCKEH_01595","JIDLLDEG_00143","EJNDHMEK_02908","MAOBNCNO_00144"
"group_4567","","hypothetical protein","6","6","1","4","5361","1","2217","","1340","1340","1340","POCPNIHP_00235","JKPFCNPL_00240","","PNIFCKEH_01596","JIDLLDEG_00144","EJNDHMEK_02907","MAOBNCNO_00145"
"group_4568","","hypothetical protein","6","6","1","4","5358","1","2214","","1025","1025","1025","POCPNIHP_00238","JKPFCNPL_00243","","PNIFCKEH_01599","JIDLLDEG_00147","EJNDHMEK_02904","MAOBNCNO_00148"
"smf-1_1","","Major fimbrial subunit SMF-1","6","6","1","4","1370","1","2211","","551","551","551","POCPNIHP_00241","JKPFCNPL_00246","","PNIFCKEH_01604","JIDLLDEG_00150","EJNDHMEK_02901","MAOBNCNO_00151"
"tssB1_1","","Type VI secretion system sheath protein TssB1","6","6","1","4","1378","1","2204","","533","533","533","POCPNIHP_00245","JKPFCNPL_00250","","PNIFCKEH_01611","JIDLLDEG_00154","EJNDHMEK_02897","MAOBNCNO_00155"
"hcp1_1","","Protein hcp1","6","6","1","4","1381","1","2200","","485","485","485","POCPNIHP_00247","JKPFCNPL_00252","","PNIFCKEH_01614","JIDLLDEG_00156","EJNDHMEK_02895","MAOBNCNO_00157"
"dddA_1","","Double-stranded DNA deaminase toxin A","6","6","1","4","1389","1","2191","","269","269","269","POCPNIHP_00254","JKPFCNPL_00259","","PNIFCKEH_01625","JIDLLDEG_00163","EJNDHMEK_02888","MAOBNCNO_00164"
"tssE1_1","","Type VI secretion system component TssE1","6","6","1","4","2266","1","2188","","491","491","491","POCPNIHP_00257","JKPFCNPL_00262","","PNIFCKEH_01628","JIDLLDEG_00166","EJNDHMEK_02885","MAOBNCNO_00167"
"kdpC","","Potassium-transporting ATPase KdpC subunit","6","6","1","4","2274","1","2179","","587","587","587","POCPNIHP_00266","JKPFCNPL_00271","","PNIFCKEH_01636","JIDLLDEG_00170","EJNDHMEK_02875","MAOBNCNO_00171"
"smoH","","Sulfoquinovosyl glycerol transport system permease protein SmoH","6","6","1","4","2279","1","2172","","839","839","839","POCPNIHP_00270","JKPFCNPL_00275","","PNIFCKEH_01643","JIDLLDEG_00174","EJNDHMEK_02871","MAOBNCNO_00175"
"sugA","","Trehalose transport system permease protein SugA","6","6","1","4","2280","1","2171","","908","908","908","POCPNIHP_00271","JKPFCNPL_00276","","PNIFCKEH_01644","JIDLLDEG_00175","EJNDHMEK_02870","MAOBNCNO_00176"
"glkA","","Glucokinase","6","6","1","4","2283","1","2169","","941","941","941","POCPNIHP_00273","JKPFCNPL_00278","","PNIFCKEH_01647","JIDLLDEG_00177","EJNDHMEK_02868","MAOBNCNO_00178"
"group_4581","","hypothetical protein","6","6","1","4","2288","1","2165","","347","347","347","POCPNIHP_00277","JKPFCNPL_00282","","PNIFCKEH_01652","JIDLLDEG_00181","EJNDHMEK_02864","MAOBNCNO_00182"
"group_4582","","Putative multidrug export ATP-binding/permease protein","6","6","1","4","2290","1","2163","","377","377","377","POCPNIHP_00279","JKPFCNPL_00284","","PNIFCKEH_01654","JIDLLDEG_00183","EJNDHMEK_02862","MAOBNCNO_00184"
"soxS_1","","Regulatory protein SoxS","6","6","1","4","2292","1","2161","","332","332","332","POCPNIHP_00281","JKPFCNPL_00286","","PNIFCKEH_01656","JIDLLDEG_00185","EJNDHMEK_02860","MAOBNCNO_00186"
"group_4584","","hypothetical protein","6","6","1","4","2293","1","2160","","506","506","506","POCPNIHP_00282","JKPFCNPL_00287","","PNIFCKEH_01657","JIDLLDEG_00186","EJNDHMEK_02859","MAOBNCNO_00187"
"rplJ","","Large ribosomal subunit protein uL10","6","6","1","4","2305","16","24","","497","497","497","POCPNIHP_00295","JKPFCNPL_00300","","PNIFCKEH_01672","JIDLLDEG_00200","EJNDHMEK_02846","MAOBNCNO_00201"
"rplL","","Large ribosomal subunit protein bL12","6","6","1","4","2306","16","25","","365","365","365","POCPNIHP_00296","JKPFCNPL_00301","","PNIFCKEH_01673","JIDLLDEG_00201","EJNDHMEK_02845","MAOBNCNO_00202"
"thiG","","Thiazole synthase","6","6","1","4","2317","16","31","","776","776","776","POCPNIHP_00302","JKPFCNPL_00307","","PNIFCKEH_01682","JIDLLDEG_00206","EJNDHMEK_02840","MAOBNCNO_00208"
"thiS","","Sulfur carrier protein ThiS","6","6","1","4","2318","16","32","","239","239","239","POCPNIHP_00303","JKPFCNPL_00308","","PNIFCKEH_01683","JIDLLDEG_00207","EJNDHMEK_02839","MAOBNCNO_00209"
"thiF","","Sulfur carrier protein ThiS adenylyltransferase","6","6","1","4","2319","16","40","","761","761","761","POCPNIHP_00304","JKPFCNPL_00309","","PNIFCKEH_01684","JIDLLDEG_00208","EJNDHMEK_02838","MAOBNCNO_00210"
"thiC","","Phosphomethylpyrimidine synthase","6","6","1","4","2321","16","38","","1934","1934","1934","POCPNIHP_00306","JKPFCNPL_00311","","PNIFCKEH_01686","JIDLLDEG_00210","EJNDHMEK_02836","MAOBNCNO_00212"
"rsd","","Regulator of sigma D","6","6","1","4","2322","16","37","","509","509","509","POCPNIHP_00307","JKPFCNPL_00312","","PNIFCKEH_01687","JIDLLDEG_00211","EJNDHMEK_02835","MAOBNCNO_00213"
"nfi","","Endonuclease V","6","6","1","4","2325","16","34","","668","668","668","POCPNIHP_00310","JKPFCNPL_00315","","PNIFCKEH_01690","JIDLLDEG_00214","EJNDHMEK_02832","MAOBNCNO_00216"
"yihD","","Protein YihD","6","6","1","4","5219","1","2571","","269","269","269","POCPNIHP_00322","JKPFCNPL_05337","","PNIFCKEH_01061","JIDLLDEG_05174","EJNDHMEK_03835","MAOBNCNO_05060"
"srkA","","Stress response kinase A","6","6","1","4","11522","1","1621","","992","992","992","POCPNIHP_00323","JKPFCNPL_05336","","PNIFCKEH_01060","JIDLLDEG_05173","EJNDHMEK_03834","MAOBNCNO_05059"
"dsbA","","Thiol:disulfide interchange protein DsbA","6","6","1","4","11523","1","1622","","629","629","629","POCPNIHP_00324","JKPFCNPL_05335","","PNIFCKEH_01059","JIDLLDEG_05172","EJNDHMEK_03833","MAOBNCNO_05058"
"group_4599","","hypothetical protein","6","6","1","4","1072","1","899","","653","653","653","POCPNIHP_00338","JKPFCNPL_00630","","PNIFCKEH_01037","JIDLLDEG_05154","EJNDHMEK_02523","MAOBNCNO_05040"
"group_4600","","hypothetical protein","6","6","1","4","1069","1","900","","197","197","197","POCPNIHP_00339","JKPFCNPL_00631","","PNIFCKEH_01036","JIDLLDEG_05153","EJNDHMEK_02522","MAOBNCNO_05039"
"dusA","","tRNA-dihydrouridine(20/20a) synthase","6","6","1","4","1065","1","909","","1049","1049","1049","POCPNIHP_00376","JKPFCNPL_00669","","PNIFCKEH_01029","JIDLLDEG_05149","EJNDHMEK_01960","MAOBNCNO_05035"
"pspG","","Phage shock protein G","6","6","1","4","1063","1","911","","209","209","209","POCPNIHP_00378","JKPFCNPL_00671","","PNIFCKEH_01026","JIDLLDEG_05147","EJNDHMEK_01959","MAOBNCNO_05033"
"qorA","","Quinone oxidoreductase 1","6","6","1","4","1061","1","912","","980","980","980","POCPNIHP_00379","JKPFCNPL_00672","","PNIFCKEH_01025","JIDLLDEG_05146","EJNDHMEK_01958","MAOBNCNO_05032"
"group_4624","","hypothetical protein","6","6","1","4","7610","1","914","","500","500","500","POCPNIHP_00382","JKPFCNPL_00675","","PNIFCKEH_01020","JIDLLDEG_05143","EJNDHMEK_01956","MAOBNCNO_05029"
"group_4625","","hypothetical protein","6","6","1","4","7613","1","917","","377","377","377","POCPNIHP_00385","JKPFCNPL_00678","","PNIFCKEH_01017","JIDLLDEG_05141","EJNDHMEK_01953","MAOBNCNO_05027"
"tyrB","","Aromatic-amino-acid aminotransferase","6","6","1","4","7615","1","919","","1208","1208","1208","POCPNIHP_00387","JKPFCNPL_00680","","PNIFCKEH_01016","JIDLLDEG_05140","EJNDHMEK_01951","MAOBNCNO_05026"
"yjbR","","putative protein YjbR","6","6","1","4","7618","1","922","","194","194","194","POCPNIHP_00389","JKPFCNPL_00682","","PNIFCKEH_01013","JIDLLDEG_05138","EJNDHMEK_01947","MAOBNCNO_05024"
"ssb_1","","Single-stranded DNA-binding protein","6","6","1","4","7623","1","927","","536","536","536","POCPNIHP_00392","JKPFCNPL_00685","","PNIFCKEH_01008","JIDLLDEG_05135","EJNDHMEK_01944","MAOBNCNO_05021"
"group_463","","IS5 family transposase ISPrst3","6","6","1","4","9860","1","4619","","320","320","320","POCPNIHP_00707","JKPFCNPL_01007","","PNIFCKEH_00491","JIDLLDEG_04709","EJNDHMEK_01640","MAOBNCNO_04599"
"group_4630","","hypothetical protein","6","6","1","4","7624","1","930","","584","584","584","POCPNIHP_00393","JKPFCNPL_00686","","PNIFCKEH_01007","JIDLLDEG_05134","EJNDHMEK_01941","MAOBNCNO_05020"
"group_4631","","IS6 family transposase ISYps1","6","6","1","4","7634","1","941","","194","194","194","POCPNIHP_00399","JKPFCNPL_00695","","PNIFCKEH_00871","JIDLLDEG_05131","EJNDHMEK_01939","MAOBNCNO_04909"
"group_4632","","IS6 family transposase ISEas1","6","6","1","4","7594","1","942","","428","428","428","POCPNIHP_00400","JKPFCNPL_00696","","PNIFCKEH_00872","JIDLLDEG_05130","EJNDHMEK_01938","MAOBNCNO_04910"
"nit","","Aliphatic nitrilase","6","6","1","4","7593","1","943","","197","197","197","POCPNIHP_00401","JKPFCNPL_00697","","PNIFCKEH_00873","JIDLLDEG_05129","EJNDHMEK_01937","MAOBNCNO_04911"
"group_4634","","hypothetical protein","6","6","1","4","7592","1","944","","488","488","488","POCPNIHP_00402","JKPFCNPL_00698","","PNIFCKEH_00874","JIDLLDEG_05128","EJNDHMEK_01936","MAOBNCNO_04912"
"group_4635","","hypothetical protein","6","6","1","4","1419","1","947","","446","446","446","POCPNIHP_00403","JKPFCNPL_00699","","PNIFCKEH_00876","JIDLLDEG_05127","EJNDHMEK_01934","MAOBNCNO_04913"
"group_4636","","hypothetical protein","6","6","1","4","1421","1","949","","185","185","185","POCPNIHP_00405","JKPFCNPL_00701","","PNIFCKEH_00879","JIDLLDEG_05125","EJNDHMEK_01931","MAOBNCNO_04915"
"group_4637","","IS3 family transposase ISYpe1","6","6","1","4","1423","1","950","","395","395","395","POCPNIHP_00408","JKPFCNPL_00704","","PNIFCKEH_00881","JIDLLDEG_05124","EJNDHMEK_01930","MAOBNCNO_04916"
"group_4638","","hypothetical protein","6","6","1","4","1424","1","951","","1271","1271","1271","POCPNIHP_00409","JKPFCNPL_00705","","PNIFCKEH_00882","JIDLLDEG_05123","EJNDHMEK_01929","MAOBNCNO_04917"
"group_4639","","hypothetical protein","6","6","1","4","1425","1","952","","953","953","953","POCPNIHP_00410","JKPFCNPL_00706","","PNIFCKEH_00883","JIDLLDEG_05122","EJNDHMEK_01928","MAOBNCNO_04918"
"group_464","","IS5 family transposase ISPrst3","6","6","1","4","10002","1","988","","398","398","398","POCPNIHP_03185","JKPFCNPL_03545","","PNIFCKEH_04156","JIDLLDEG_02199","EJNDHMEK_00345","MAOBNCNO_02195"
"soxR","","Redox-sensitive transcriptional activator SoxR","6","6","1","4","1429","1","956","","233","233","233","POCPNIHP_00413","JKPFCNPL_00709","","PNIFCKEH_00886","JIDLLDEG_05119","EJNDHMEK_01924","MAOBNCNO_04921"
"group_4641","","hypothetical protein","6","6","1","4","1430","1","957","","662","662","662","POCPNIHP_00414","JKPFCNPL_00710","","PNIFCKEH_00887","JIDLLDEG_05118","EJNDHMEK_01923","MAOBNCNO_04922"
"ghxP","","Guanine/hypoxanthine permease GhxP","6","6","1","4","1431","1","959","","1349","1349","1349","POCPNIHP_00415","JKPFCNPL_00711","","PNIFCKEH_00891","JIDLLDEG_05114","EJNDHMEK_01921","MAOBNCNO_04925"
"nhaK","","Sodium, potassium, lithium and rubidium/H(+) antiporter","6","6","1","4","1432","1","960","","1649","1649","1649","POCPNIHP_00416","JKPFCNPL_00712","","PNIFCKEH_00892","JIDLLDEG_05113","EJNDHMEK_01920","MAOBNCNO_04926"
"group_4644","","hypothetical protein","6","6","1","4","1434","1","966","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","299","299","299","POCPNIHP_00418","JKPFCNPL_00714","","PNIFCKEH_00894","JIDLLDEG_05111","EJNDHMEK_01918","MAOBNCNO_04928"
"group_4646","","hypothetical protein","6","6","1","4","1437","1","969","","284","284","284","POCPNIHP_00421","JKPFCNPL_00717","","PNIFCKEH_00897","JIDLLDEG_05107","EJNDHMEK_01915","MAOBNCNO_04932"
"group_4647","","hypothetical protein","6","6","1","4","1438","1","971","","545","545","545","POCPNIHP_00422","JKPFCNPL_00718","","PNIFCKEH_00898","JIDLLDEG_05106","EJNDHMEK_01914","MAOBNCNO_04933"
"aer_2","","Aerotaxis receptor","6","6","1","4","1444","1","979","","743","743","743","POCPNIHP_00427","JKPFCNPL_00723","","PNIFCKEH_00905","JIDLLDEG_05101","EJNDHMEK_01908","MAOBNCNO_04937"
"group_465","","IS5 family transposase ISPrst3","6","6","1","4","1687","1","1902","","326","326","326","POCPNIHP_02772","JKPFCNPL_03180","","PNIFCKEH_04407","JIDLLDEG_02494","EJNDHMEK_00001","MAOBNCNO_02407"
"sbmA","","Peptide antibiotic transporter SbmA","6","6","1","4","1449","1","1112","","1199","1199","1199","POCPNIHP_00429","JKPFCNPL_00725","","PNIFCKEH_00908","JIDLLDEG_05099","EJNDHMEK_01905","MAOBNCNO_04939"
"group_4651","","hypothetical protein","6","6","1","4","1451","1","1113","","734","734","734","POCPNIHP_00431","JKPFCNPL_00727","","PNIFCKEH_00911","JIDLLDEG_05097","EJNDHMEK_01904","MAOBNCNO_04941"
"group_4652","","hypothetical protein","6","6","1","4","1452","1","1114","","626","626","626","POCPNIHP_00432","JKPFCNPL_00728","","PNIFCKEH_00912","JIDLLDEG_05096","EJNDHMEK_01903","MAOBNCNO_04942"
"group_4653","","putative signaling protein","6","6","1","4","1453","1","1115","","776","776","776","POCPNIHP_00433","JKPFCNPL_00729","","PNIFCKEH_00913","JIDLLDEG_05095","EJNDHMEK_01902","MAOBNCNO_04943"
"group_4654","","hypothetical protein","6","6","1","4","1454","1","1116","","134","134","134","POCPNIHP_00434","JKPFCNPL_00730","","PNIFCKEH_00914","JIDLLDEG_05094","EJNDHMEK_01901","MAOBNCNO_04944"
"group_4655","","hypothetical protein","6","6","1","4","1458","1","1122","","245","245","245","POCPNIHP_00438","JKPFCNPL_00734","","PNIFCKEH_00919","JIDLLDEG_05090","EJNDHMEK_01896","MAOBNCNO_04948"
"group_4656","treF_3","Cytoplasmic trehalase","6","6","1","4","1460","1","1123","","299","299","299","POCPNIHP_00439","JKPFCNPL_00735","","PNIFCKEH_00920","JIDLLDEG_05089","EJNDHMEK_01894","MAOBNCNO_04949"
"treF_2","","Cytoplasmic trehalase","6","6","1","4","1461","1","1124","","443","443","443","POCPNIHP_00440","JKPFCNPL_00736","","PNIFCKEH_00921","JIDLLDEG_05088","EJNDHMEK_01893","MAOBNCNO_04950"
"group_4658","","hypothetical protein","6","6","1","4","1463","1","1126","","587","587","587","POCPNIHP_00441","JKPFCNPL_00737","","PNIFCKEH_00922","JIDLLDEG_05087","EJNDHMEK_01892","MAOBNCNO_04951"
"group_4659","","hypothetical protein","6","6","1","4","2262","1","1138","","371","371","371","POCPNIHP_00446","JKPFCNPL_00742","","PNIFCKEH_00933","JIDLLDEG_05077","EJNDHMEK_01889","MAOBNCNO_04960"
"group_466","","IS5 family transposase ISPrst3","6","6","1","4","1575","1","1925","","320","320","320","POCPNIHP_02808","JKPFCNPL_03216","","PNIFCKEH_04436","JIDLLDEG_02516","EJNDHMEK_00039","MAOBNCNO_02429"
"group_4660","","hypothetical protein","6","6","1","4","1499","1","1157","","701","701","701","POCPNIHP_00455","JKPFCNPL_00751","","PNIFCKEH_00965","JIDLLDEG_05058","EJNDHMEK_01882","MAOBNCNO_04978"
"pntM","","Pentalenolactone synthase","6","6","1","4","1491","1","324","","1202","1202","1202","POCPNIHP_00464","JKPFCNPL_00760","","PNIFCKEH_00973","JIDLLDEG_05050","EJNDHMEK_01873","MAOBNCNO_04986"
"group_4664","","hypothetical protein","6","6","1","4","1490","1","325","","1301","1301","1301","POCPNIHP_00465","JKPFCNPL_00761","","PNIFCKEH_00974","JIDLLDEG_05049","EJNDHMEK_01872","MAOBNCNO_04987"
"group_4665","","hypothetical protein","6","6","1","4","1489","1","326","","269","269","269","POCPNIHP_00466","JKPFCNPL_00762","","PNIFCKEH_00975","JIDLLDEG_05048","EJNDHMEK_01871","MAOBNCNO_04988"
"cotB3","","Cyclooctat-9-en-7-ol 5-monooxygenase","6","6","1","4","1487","1","328","","1364","1364","1364","POCPNIHP_00468","JKPFCNPL_00764","","PNIFCKEH_00977","JIDLLDEG_05046","EJNDHMEK_01869","MAOBNCNO_04990"
"group_4667","","hypothetical protein","6","6","1","4","1486","1","329","","125","125","125","POCPNIHP_00469","JKPFCNPL_00765","","PNIFCKEH_00978","JIDLLDEG_05045","EJNDHMEK_01868","MAOBNCNO_04991"
"ispA_1","","Farnesyl diphosphate synthase","6","6","1","4","1485","1","330","","983","983","983","POCPNIHP_00470","JKPFCNPL_00766","","PNIFCKEH_00979","JIDLLDEG_05044","EJNDHMEK_01867","MAOBNCNO_04992"
"group_4669","","(+)-kolavenyl diphosphate synthase","6","6","1","4","1484","1","331","","1571","1571","1571","POCPNIHP_00471","JKPFCNPL_00767","","PNIFCKEH_00980","JIDLLDEG_05043","EJNDHMEK_01866","MAOBNCNO_04993"
"group_467","","IS5 family transposase ISPrst3","6","6","1","4","9970","1","4693","","302","302","302","POCPNIHP_03214","JKPFCNPL_03574","","PNIFCKEH_04125","JIDLLDEG_02173","EJNDHMEK_00375","MAOBNCNO_02169"
"group_4670","","putative protein","6","6","1","4","1483","1","332","","950","950","950","POCPNIHP_00472","JKPFCNPL_00768","","PNIFCKEH_00981","JIDLLDEG_05042","EJNDHMEK_01865","MAOBNCNO_04994"
"fni","","Isopentenyl-diphosphate delta-isomerase","6","6","1","4","1482","1","333","","1049","1049","1049","POCPNIHP_00473","JKPFCNPL_00769","","PNIFCKEH_00982","JIDLLDEG_05041","EJNDHMEK_01864","MAOBNCNO_04995"
"rpnA","","Recombination-promoting nuclease RpnA","6","6","1","4","7819","1","337","","473","473","473","POCPNIHP_00475","JKPFCNPL_00771","","PNIFCKEH_00985","JIDLLDEG_05039","EJNDHMEK_01859","MAOBNCNO_04998"
"group_4673","","hypothetical protein","6","6","1","4","7822","1","610","","1868","1868","1868","POCPNIHP_00478","JKPFCNPL_00774","","PNIFCKEH_00989","JIDLLDEG_05036","EJNDHMEK_01856","MAOBNCNO_05001"
"group_4675","","hypothetical protein","6","6","1","4","7823","1","614","","239","239","239","POCPNIHP_00481","JKPFCNPL_00778","","PNIFCKEH_00993","JIDLLDEG_05032","EJNDHMEK_01855","MAOBNCNO_05005"
"group_4677","","Antitoxin VapB32","6","6","1","4","7813","1","616","","206","206","206","POCPNIHP_00483","JKPFCNPL_00780","","PNIFCKEH_00994","JIDLLDEG_05031","EJNDHMEK_01853","MAOBNCNO_05007"
"treF_1","","Cytoplasmic trehalase","6","6","1","4","7799","1","304","","251","251","251","POCPNIHP_00497","JKPFCNPL_00794","","PNIFCKEH_00858","JIDLLDEG_05009","EJNDHMEK_01842","MAOBNCNO_04897"
"qorB_1","","Quinone oxidoreductase 2","6","6","1","4","7797","1","302","","863","863","863","POCPNIHP_00499","JKPFCNPL_00796","","PNIFCKEH_00856","JIDLLDEG_05007","EJNDHMEK_01840","MAOBNCNO_04895"
"tolC_2","","Outer membrane protein TolC","6","6","1","4","7793","1","299","","1316","1316","1316","POCPNIHP_00502","JKPFCNPL_00799","","PNIFCKEH_00853","JIDLLDEG_05004","EJNDHMEK_01836","MAOBNCNO_04892"
"iprA","","Inhibitor of hydrogen peroxide resistance","6","6","1","4","7791","1","297","","599","599","599","POCPNIHP_00504","JKPFCNPL_00801","","PNIFCKEH_00851","JIDLLDEG_05002","EJNDHMEK_01834","MAOBNCNO_04890"
"group_4682","","hypothetical protein","6","6","1","4","7789","1","294","","779","779","779","POCPNIHP_00506","JKPFCNPL_00803","","PNIFCKEH_00848","JIDLLDEG_05000","EJNDHMEK_01832","MAOBNCNO_04888"
"dsbB_1","","Disulfide bond formation protein B","6","6","1","4","7788","1","293","","551","551","551","POCPNIHP_00507","JKPFCNPL_00804","","PNIFCKEH_00847","JIDLLDEG_04999","EJNDHMEK_01831","MAOBNCNO_04887"
