strain,gene,start,end,type
BuffGH_2022,JKPFCNPL_02845,2492859,2493515,accessory
BuffGH_2022,JKPFCNPL_02846,2493641,2494246,accessory
BuffGH_2022,JKPFCNPL_02847,2494247,2495719,accessory
BuffGH_2022,JKPFCNPL_02848,2495790,2496509,accessory
BuffGH_2022,JKPFCNPL_02849,2496481,2497242,accessory
BuffGH_2022,JKPFCNPL_02850,2497327,2497557,accessory
BuffGH_2022,JKPFCNPL_02851,2497718,2498089,accessory
BuffGH_2022,JKPFCNPL_02852,2498271,2498966,accessory
BuffGH_2022,JKPFCNPL_02853,2499021,2499371,accessory
BuffGH_2022,JKPFCNPL_02854,2499931,2500278,accessory
BuffGH_2022,JKPFCNPL_02855,2500269,2500463,accessory
BuffGH_2022,JKPFCNPL_02856,2500578,2500772,accessory
BuffGH_2022,JKPFCNPL_02857,2500769,2501662,accessory
BuffGH_2022,JKPFCNPL_02858,2501682,2502230,accessory
BuffGH_2022,JKPFCNPL_02859,2502483,2502983,accessory
BuffGH_2022,JKPFCNPL_02860,2503080,2503766,accessory
BuffGH_2022,JKPFCNPL_02861,2503786,2505825,accessory
BuffGH_2022,JKPFCNPL_02862,2506813,2507694,accessory
BuffGH_2022,JKPFCNPL_02863,2507760,2509136,accessory
BuffGH_2022,JKPFCNPL_02864,2509330,2510121,accessory
BuffGH_2022,JKPFCNPL_02865,2510157,2510393,accessory
BuffGH_2022,JKPFCNPL_02866,2510631,2510891,accessory
BuffGH_2022,JKPFCNPL_02867,2510913,2511131,accessory
BuffGH_2022,JKPFCNPL_02868,2511689,2511859,accessory
BuffGH_2022,JKPFCNPL_02869,2512575,2512784,core
BuffGH_2022,JKPFCNPL_02870,2512904,2513206,accessory
BuffGH_2022,JKPFCNPL_02871,2513273,2514100,accessory
BuffGH_2022,JKPFCNPL_02872,2514929,2516494,accessory
BuffGH_2022,JKPFCNPL_02873,2516725,2518287,accessory
BuffGH_2022,JKPFCNPL_02874,2518532,2519896,accessory
BuffGH_2022,JKPFCNPL_02875,2520558,2520806,accessory
BuffGH_2022,JKPFCNPL_02876,2520845,2521981,accessory
BuffGH_2022,JKPFCNPL_02877,2522132,2523313,accessory
BuffGH_2022,JKPFCNPL_02878,2523314,2523829,accessory
BuffGH_2022,JKPFCNPL_02879,2523878,2524195,accessory
BuffGH_2022,JKPFCNPL_02880,2524343,2525266,accessory
BuffGH_2022,JKPFCNPL_02881,2525242,2527314,accessory
BuffGH_2022,JKPFCNPL_02882,2527327,2527815,accessory
BuffGH_2022,JKPFCNPL_02883,2527970,2528566,accessory
BuffGH_2022,JKPFCNPL_02884,2528566,2529567,accessory
BuffGH_2022,JKPFCNPL_02885,2529557,2530171,accessory
BuffGH_2022,JKPFCNPL_02886,2530164,2531060,accessory
BuffGH_2022,JKPFCNPL_02887,2531047,2531415,accessory
BuffGH_2022,JKPFCNPL_02888,2531412,2531987,accessory
BuffGH_2022,JKPFCNPL_02889,2531984,2532622,accessory
BuffGH_2022,JKPFCNPL_02890,2532619,2533080,accessory
BuffGH_2022,JKPFCNPL_02891,2533085,2533600,accessory
BuffGH_2022,JKPFCNPL_02892,2533597,2533989,accessory
BuffGH_2022,JKPFCNPL_02893,2533952,2534143,accessory
BuffGH_2022,JKPFCNPL_02894,2534127,2534429,accessory
BuffGH_2022,JKPFCNPL_02895,2534420,2534620,accessory
BuffGH_2022,JKPFCNPL_02896,2534620,2535144,accessory
BuffGH_2022,JKPFCNPL_02897,2535241,2536098,accessory
BuffGH_2022,JKPFCNPL_02898,2536123,2537172,accessory
BuffGH_2022,JKPFCNPL_02899,2537196,2538032,accessory
BuffGH_2022,JKPFCNPL_02900,2538192,2539922,accessory
BuffGH_2022,JKPFCNPL_02901,2539968,2540981,accessory
BuffGH_2022,JKPFCNPL_02902,2541052,2541555,accessory
BuffGH_2022,JKPFCNPL_02903,2541559,2541663,accessory
BuffGH_2022,JKPFCNPL_02904,2541965,2542348,accessory
BuffGH_2022,JKPFCNPL_02905,2542345,2542566,accessory
BuffGH_2022,JKPFCNPL_02906,2542633,2543328,accessory
BuffGH_2022,JKPFCNPL_02907,2543578,2543937,accessory
BuffGH_2022,JKPFCNPL_02908,2543957,2544223,accessory
BuffGH_2022,JKPFCNPL_02909,2544189,2546708,accessory
BuffGH_2022,JKPFCNPL_02910,2546708,2547091,accessory
BuffGH_2022,JKPFCNPL_02911,2547164,2547406,accessory
BuffGH_2022,JKPFCNPL_02912,2547738,2547944,accessory
BuffGH_2022,JKPFCNPL_02913,2547941,2548783,accessory
BuffGH_2022,JKPFCNPL_02914,2548780,2549352,accessory
BuffGH_2022,JKPFCNPL_02915,2549422,2549814,accessory
BuffGH_2022,JKPFCNPL_02916,2550186,2550323,accessory
BuffGH_2022,JKPFCNPL_02917,2550558,2550797,accessory
BuffGH_2022,JKPFCNPL_02918,2550766,2550948,accessory
BuffGH_2022,JKPFCNPL_02919,2550926,2551183,accessory
BuffGH_2022,JKPFCNPL_02920,2551180,2551611,accessory
BuffGH_2022,JKPFCNPL_02921,2551716,2551997,accessory
BuffGH_2022,JKPFCNPL_02922,2552082,2553101,accessory
BuffGH_2022,JKPFCNPL_02923,2553198,2553587,accessory
BuffGH_2022,JKPFCNPL_02924,2553580,2554944,accessory
BuffGH_2022,JKPFCNPL_02925,2555056,2555241,accessory
BuffGH_2022,JKPFCNPL_02926,2555222,2555482,accessory
BuffGH_2022,JKPFCNPL_02927,2555605,2556249,accessory
BuffGH_2022,JKPFCNPL_02928,2556259,2556603,accessory
BuffGH_2022,JKPFCNPL_02929,2556887,2558797,accessory
BuffGH_2022,JKPFCNPL_02930,2558816,2559556,accessory
BuffGH_2022,JKPFCNPL_02931,2559671,2560267,accessory
BuffGH_2022,JKPFCNPL_02932,2560282,2560386,accessory
BuffGH_2022,JKPFCNPL_02933,2560481,2560810,accessory
BuffGH_2022,JKPFCNPL_02934,2560792,2562042,accessory
BuffGH_2022,JKPFCNPL_02935,2562289,2563410,accessory
BuffGH_2022,JKPFCNPL_02936,2563462,2563731,accessory
BuffGH_2022,JKPFCNPL_02937,2563735,2564547,core
BuffGH_2022,JKPFCNPL_02938,2564587,2565279,accessory
BuffGH_2022,JKPFCNPL_02939,2565437,2565712,accessory
BuffGH_2022,JKPFCNPL_02940,2565961,2566620,accessory
BuffGH_2022,JKPFCNPL_02941,2566684,2567127,accessory
BuffGH_2022,JKPFCNPL_02942,2567392,2567895,accessory
BuffGH_2022,JKPFCNPL_02943,2568967,2569248,accessory
BuffGH_2022,JKPFCNPL_02944,2569594,2570124,accessory
BuffGH_2022,JKPFCNPL_02945,2570430,2571140,accessory
BuffGH_2022,JKPFCNPL_02946,2571193,2572728,accessory
BuffGH_2022,JKPFCNPL_02947,2573231,2574526,accessory
BuffGH_2022,JKPFCNPL_02948,2574554,2575624,accessory
BuffGH_2022,JKPFCNPL_02949,2575778,2576230,accessory
BuffGH_2022,JKPFCNPL_02950,2576265,2577440,accessory
BuffGH_2022,JKPFCNPL_02951,2577569,2577709,accessory
BuffGH_2022,JKPFCNPL_02952,2578069,2578593,accessory
BuffGH_2022,JKPFCNPL_02953,2578668,2578880,accessory
BuffGH_2022,JKPFCNPL_02954,2578939,2579196,accessory
BuffGH_2022,JKPFCNPL_02955,2579635,2581362,accessory
BuffGH_2022,JKPFCNPL_02956,2581812,2582660,accessory
BuffGH_2022,JKPFCNPL_02957,2583039,2583179,accessory
BuffGH_2022,JKPFCNPL_02958,2583680,2583832,accessory
BuffGH_2022,JKPFCNPL_02959,2583834,2585105,accessory
BuffGH_2022,JKPFCNPL_02960,2585177,2587291,core
BuffGH_2022,JKPFCNPL_02961,2587985,2588692,accessory
BuffGH_2022,JKPFCNPL_02962,2588737,2589615,accessory
BuffGH_2022,JKPFCNPL_02963,2590023,2591018,accessory
BuffGH_2022,JKPFCNPL_02964,2591360,2591770,accessory
BuffGH_2022,JKPFCNPL_02965,2591776,2592054,accessory
BuffGH_2022,JKPFCNPL_02966,2592055,2592675,accessory
BuffGH_2022,JKPFCNPL_02967,2592687,2593703,accessory
BuffGH_2022,JKPFCNPL_02968,2593772,2595628,accessory
BuffGH_2022,JKPFCNPL_02969,2595808,2596359,accessory
BuffGH_2022,JKPFCNPL_02970,2596630,2598540,accessory
BuffGH_2022,JKPFCNPL_02971,2598540,2598881,accessory
BuffGH_2022,JKPFCNPL_02972,2598916,2599722,accessory
BuffGH_2022,JKPFCNPL_02974,2600249,2601232,accessory
BuffGH_2022,JKPFCNPL_02975,2601380,2601607,accessory
BuffGH_2022,JKPFCNPL_02976,2602106,2602282,accessory
BuffGH_2022,JKPFCNPL_02977,2602362,2602586,accessory
BuffGH_2022,JKPFCNPL_02978,2602690,2603703,accessory
BuffGH_2022,JKPFCNPL_02979,2603898,2604806,accessory
BuffGH_2022,JKPFCNPL_02980,2604834,2606174,accessory
BuffGH_2022,JKPFCNPL_02981,2606189,2607196,accessory
BuffGH_2022,JKPFCNPL_02982,2607250,2607654,accessory
BuffGH_2022,JKPFCNPL_02983,2608162,2608779,accessory
BuffGH_2022,JKPFCNPL_02984,2608930,2611608,accessory
BuffGH_2022,JKPFCNPL_02985,2612072,2612719,accessory
BuffGH_2022,JKPFCNPL_02986,2613306,2614973,accessory
BuffGH_2022,JKPFCNPL_02987,2615094,2616773,accessory
BuffGH_2022,JKPFCNPL_02988,2616854,2617774,accessory
BuffGH_2022,JKPFCNPL_02989,2617791,2618696,accessory
BuffGH_2022,JKPFCNPL_02990,2618707,2619720,accessory
BuffGH_2022,JKPFCNPL_02991,2619717,2620718,accessory
BuffGH_2022,JKPFCNPL_02992,2620946,2621269,accessory
BuffGH_2022,JKPFCNPL_02993,2621315,2622775,accessory
BuffGH_2022,JKPFCNPL_02994,2623333,2624541,accessory
BuffGH_2022,JKPFCNPL_02995,2624646,2625929,accessory
BuffGH_2022,JKPFCNPL_02996,2626198,2626494,accessory
BuffGH_2022,JKPFCNPL_02997,2626699,2627427,accessory
BuffGH_2022,JKPFCNPL_02998,2627834,2627986,accessory
BuffGH_2022,JKPFCNPL_02999,2627961,2628437,accessory
BuffGH_2022,JKPFCNPL_03000,2628468,2629034,accessory
BuffGH_2022,JKPFCNPL_03001,2629485,2629973,accessory
BuffGH_2022,JKPFCNPL_03002,2629914,2630171,accessory
BuffGH_2022,JKPFCNPL_03003,2630958,2631497,accessory
BuffGH_2022,JKPFCNPL_03004,2631574,2632308,accessory
BuffGH_2022,JKPFCNPL_03005,2632332,2632751,accessory
BuffGH_2022,JKPFCNPL_03006,2632977,2634200,accessory
BuffGH_2022,JKPFCNPL_03007,2634211,2634603,accessory
BuffGH_2022,JKPFCNPL_03008,2634696,2635073,accessory
BuffGH_2022,JKPFCNPL_03009,2635193,2635507,accessory
BuffGH_2022,JKPFCNPL_03010,2635665,2636471,accessory
BuffGH_2022,JKPFCNPL_03011,2636471,2637661,accessory
BuffGH_2022,JKPFCNPL_03012,2637712,2639073,accessory
BuffGH_2022,JKPFCNPL_03013,2639076,2640074,accessory
BuffGH_2022,JKPFCNPL_03014,2640087,2640668,accessory
BuffGH_2022,JKPFCNPL_03015,2640668,2642230,accessory
BuffGH_2022,JKPFCNPL_03016,2642508,2643401,accessory
BuffGH_2022,JKPFCNPL_03017,2643416,2644036,accessory
BuffGH_2022,JKPFCNPL_03018,2644116,2645192,accessory
BuffGH_2022,JKPFCNPL_03019,2645153,2645269,accessory
BuffGH_2022,JKPFCNPL_03020,2645619,2646122,accessory
BuffGH_2022,JKPFCNPL_03021,2646251,2646463,accessory
BuffGH_2022,JKPFCNPL_03022,2647190,2648053,accessory
BuffGH_2022,JKPFCNPL_03023,2648444,2648632,accessory
BuffGH_2022,JKPFCNPL_03024,2648595,2649356,accessory
BuffGH_2022,JKPFCNPL_03025,2649554,2650603,accessory
BuffGH_2022,JKPFCNPL_03026,2650915,2651358,accessory
BuffGH_2022,JKPFCNPL_03027,2651342,2651746,accessory
BuffGH_2022,JKPFCNPL_03028,2652123,2652941,accessory
BuffGH_2022,JKPFCNPL_03029,2652986,2653297,accessory
BuffGH_2022,JKPFCNPL_03030,2653399,2653722,accessory
BuffGH_2022,JKPFCNPL_03031,2653809,2654351,accessory
BuffGH_2022,JKPFCNPL_03032,2655006,2657633,accessory
BuffGH_2022,JKPFCNPL_03033,2657620,2657808,accessory
BuffGH_2022,JKPFCNPL_03034,2657819,2658145,accessory
BuffGH_2022,JKPFCNPL_03035,2658244,2658552,accessory
BuffGH_2022,JKPFCNPL_03036,2658728,2659078,accessory
BuffGH_2022,JKPFCNPL_03037,2659276,2659890,accessory
BuffGH_2022,JKPFCNPL_03038,2660218,2660388,accessory
BuffGH_2022,JKPFCNPL_03039,2660517,2661020,accessory
BuffGH_2022,JKPFCNPL_03040,2661211,2661816,accessory
BuffGH_2022,JKPFCNPL_03041,2662049,2665945,accessory
BuffGH_2022,JKPFCNPL_03042,2666261,2667796,accessory
BuffGH_2022,JKPFCNPL_03043,2667992,2668195,accessory
BuffGH_2022,JKPFCNPL_03044,2668184,2669347,accessory
BuffGH_2022,JKPFCNPL_03045,2669453,2670265,accessory
BuffGH_2022,JKPFCNPL_03046,2670265,2671257,accessory
BuffGH_2022,JKPFCNPL_03047,2671258,2672148,accessory
BuffGH_2022,JKPFCNPL_03048,2672649,2673014,accessory
BuffGH_2022,JKPFCNPL_03049,2672963,2673364,accessory
BuffGH_2022,JKPFCNPL_03050,2673455,2673763,accessory
BuffGH_2022,JKPFCNPL_03051,2673796,2674518,accessory
BuffGH_2022,JKPFCNPL_03052,2674841,2678149,accessory
BuffGH_2022,JKPFCNPL_03053,2678380,2678547,accessory
BuffGH_2022,JKPFCNPL_03054,2678700,2678831,accessory
BuffGH_2022,JKPFCNPL_03055,2678927,2679172,accessory
BuffGH_2022,JKPFCNPL_03056,2679547,2679687,accessory
BuffGH_2022,JKPFCNPL_03057,2679789,2680097,accessory
BuffGH_2022,JKPFCNPL_03058,2680296,2680838,accessory
BuffGH_2022,JKPFCNPL_03059,2680927,2682249,accessory
BuffGH_2022,JKPFCNPL_03060,2682394,2682519,accessory
BuffGH_2022,JKPFCNPL_03061,2682924,2685536,accessory
BuffGH_2022,JKPFCNPL_03062,2685675,2686718,accessory
BuffGH_2022,JKPFCNPL_03063,2686985,2687488,accessory
BuffGH_2022,JKPFCNPL_03064,2687964,2688125,accessory
BuffGH_2022,JKPFCNPL_03065,2688125,2688298,accessory
BuffGH_2022,JKPFCNPL_03066,2688705,2689307,accessory
BuffGH_2022,JKPFCNPL_03067,2689442,2689708,accessory
BuffGH_2022,JKPFCNPL_03068,2689952,2690539,accessory
BuffGH_2022,JKPFCNPL_03069,2690769,2691530,accessory
BuffGH_2022,JKPFCNPL_03070,2691527,2691682,accessory
BuffGH_2022,JKPFCNPL_03071,2691679,2691921,accessory
BuffGH_2022,JKPFCNPL_03072,2692020,2693189,accessory
BuffGH_2022,JKPFCNPL_03073,2693388,2694104,accessory
BuffGH_2022,JKPFCNPL_03074,2694104,2694430,accessory
BuffGH_2022,JKPFCNPL_03075,2694646,2695692,accessory
BuffGH_2022,JKPFCNPL_03076,2695696,2696157,accessory
BuffGH_2022,JKPFCNPL_03077,2696511,2696984,accessory
BuffGH_2022,JKPFCNPL_03078,2696958,2697164,accessory
BuffGH_2022,JKPFCNPL_03079,2697625,2697828,accessory
BuffGH_2022,JKPFCNPL_03080,2697825,2697938,accessory
BuffGH_2022,JKPFCNPL_03081,2697992,2698438,accessory
BuffGH_2022,JKPFCNPL_03082,2698915,2700189,accessory
BuffGH_2022,JKPFCNPL_03083,2700657,2702429,accessory
BuffGH_2022,JKPFCNPL_03084,2702613,2703809,accessory
BuffGH_2022,JKPFCNPL_03085,2704002,2704193,accessory
BuffGH_2022,JKPFCNPL_03086,2704169,2704432,accessory
BuffGH_2022,JKPFCNPL_03087,2704536,2704694,accessory
BuffGH_2022,JKPFCNPL_03088,2704977,2705480,accessory
BuffGH_2022,JKPFCNPL_03089,2706009,2706341,accessory
BuffGH_2022,JKPFCNPL_03090,2706292,2706705,accessory
BuffGH_2022,JKPFCNPL_03091,2707047,2707784,accessory
BuffGH_2022,JKPFCNPL_03092,2707822,2708232,accessory
BuffGH_2022,JKPFCNPL_03093,2708310,2708498,accessory
BuffGH_2022,JKPFCNPL_03094,2708495,2708758,accessory
BuffGH_2022,JKPFCNPL_03095,2708745,2709068,accessory
BuffGH_2022,JKPFCNPL_03096,2709139,2709570,accessory
BuffGH_2022,JKPFCNPL_03097,2709585,2710010,accessory
BuffGH_2022,JKPFCNPL_03098,2710007,2710396,accessory
BuffGH_2022,JKPFCNPL_03099,2710837,2711205,accessory
BuffGH_2022,JKPFCNPL_03100,2711154,2711444,accessory
BuffGH_2022,JKPFCNPL_03101,2711470,2711784,accessory
BuffGH_2022,JKPFCNPL_03102,2712370,2713410,accessory
BuffGH_2022,JKPFCNPL_03103,2713489,2714151,accessory
BuffGH_2022,JKPFCNPL_03104,2714589,2715005,accessory
BuffGH_2022,JKPFCNPL_03105,2715435,2716391,accessory
BuffGH_2022,JKPFCNPL_03106,2716646,2716963,accessory
BuffGH_2022,JKPFCNPL_03107,2717650,2717940,accessory
BuffGH_2022,JKPFCNPL_03108,2718877,2719452,accessory
BuffGH_2022,JKPFCNPL_03109,2720749,2722293,accessory
BuffGH_2022,JKPFCNPL_03110,2723558,2723977,accessory
BuffGH_2022,JKPFCNPL_03111,2724196,2724912,accessory
BuffGH_2022,JKPFCNPL_03112,2724943,2725260,accessory
BuffGH_2022,JKPFCNPL_03113,2725479,2726876,accessory
BuffGH_2022,JKPFCNPL_03114,2726941,2727831,accessory
BuffGH_2022,JKPFCNPL_03115,2727998,2728399,accessory
BuffGH_2022,JKPFCNPL_03116,2729351,2729794,accessory
BuffGH_2022,JKPFCNPL_03117,2729911,2730207,accessory
BuffGH_2022,JKPFCNPL_03118,2730229,2730516,accessory
BuffGH_2022,JKPFCNPL_03119,2731343,2732560,accessory
BuffGH_2022,JKPFCNPL_03120,2732756,2733469,accessory
BuffGH_2022,JKPFCNPL_03121,2733517,2734656,accessory
BuffGH_2022,JKPFCNPL_03122,2734656,2735204,accessory
BuffGH_2022,JKPFCNPL_03123,2735313,2736197,accessory
BuffGH_2022,JKPFCNPL_03124,2736216,2736896,accessory
BuffGH_2022,JKPFCNPL_03125,2737165,2737431,accessory
BuffGH_2022,JKPFCNPL_03126,2737353,2737649,accessory
BuffGH_2022,JKPFCNPL_03127,2737702,2738052,accessory
BuffGH_2022,JKPFCNPL_03128,2738340,2739164,accessory
BuffGH_2022,JKPFCNPL_03129,2739197,2739460,accessory
BuffGH_2022,JKPFCNPL_03130,2739614,2740825,accessory
BuffGH_2022,JKPFCNPL_03131,2741019,2741555,accessory
BuffGH_2022,JKPFCNPL_03132,2741714,2743645,accessory
BuffGH_2022,JKPFCNPL_03133,2744077,2746425,accessory
BuffGH_2022,JKPFCNPL_03134,2746956,2747459,accessory
BuffGH_2022,JKPFCNPL_03135,2747467,2748534,accessory
BuffGH_2022,JKPFCNPL_03136,2748713,2750107,accessory
BuffGH_2022,JKPFCNPL_03137,2750110,2752005,accessory
BuffGH_2022,JKPFCNPL_03138,2752177,2753001,accessory
BuffGH_2022,JKPFCNPL_03139,2752962,2753498,accessory
BuffGH_2022,JKPFCNPL_03140,2753810,2754850,accessory
BuffGH_2022,JKPFCNPL_03141,2754968,2755951,accessory
BuffGH_2022,JKPFCNPL_03142,2756122,2756301,accessory
BuffGH_2022,JKPFCNPL_03143,2756313,2756531,accessory
BuffGH_2022,JKPFCNPL_03144,2757092,2758312,accessory
BuffGH_2022,JKPFCNPL_03145,2758507,2759547,accessory
BuffGH_2022,JKPFCNPL_03146,2759582,2760088,accessory
BuffGH_2022,JKPFCNPL_03147,2760120,2760368,accessory
BuffGH_2022,JKPFCNPL_03148,2760660,2762444,accessory
BuffGH_2022,JKPFCNPL_03149,2762586,2763629,accessory
BuffGH_2022,JKPFCNPL_03150,2763797,2764429,accessory
BuffGH_2022,JKPFCNPL_03151,2765181,2765897,accessory
BuffGH_2022,JKPFCNPL_03152,2765928,2766245,accessory
BuffGH_2022,JKPFCNPL_03153,2766447,2767481,accessory
BuffGH_2022,JKPFCNPL_03154,2767552,2768076,accessory
BuffGH_2022,JKPFCNPL_03155,2768568,2768894,accessory
BuffGH_2022,JKPFCNPL_03156,2768944,2769168,accessory
BuffGH_2022,JKPFCNPL_03157,2769375,2770346,accessory
BuffGH_2022,JKPFCNPL_03158,2770405,2770635,accessory
BuffGH_2022,JKPFCNPL_03159,2771686,2772039,accessory
BuffGH_2022,JKPFCNPL_03160,2772002,2772628,accessory
BuffGH_2022,JKPFCNPL_03161,2773068,2773553,accessory
BuffGH_2022,JKPFCNPL_03162,2773492,2773890,accessory
BuffGH_2022,JKPFCNPL_03163,2774482,2775000,accessory
BuffGH_2022,JKPFCNPL_03164,2775074,2775265,accessory
BuffGH_2022,JKPFCNPL_03165,2775603,2776031,accessory
BuffGH_2022,JKPFCNPL_03166,2776372,2777046,accessory
BuffGH_2022,JKPFCNPL_03167,2777055,2777483,accessory
BuffGH_2022,JKPFCNPL_03168,2777541,2778365,accessory
BuffGH_2022,JKPFCNPL_03169,2778398,2778661,accessory
BuffGH_2022,JKPFCNPL_03170,2779145,2780185,accessory
BuffGH_2022,JKPFCNPL_03171,2780726,2781766,accessory
BuffGH_2022,JKPFCNPL_03172,2781801,2781968,accessory
BuffGH_2022,JKPFCNPL_03173,2781970,2782359,accessory
BuffGH_2022,JKPFCNPL_03174,2782447,2782899,accessory
BuffGH_2022,JKPFCNPL_03175,2783067,2783582,accessory
BuffGH_2022,JKPFCNPL_03176,2783660,2784118,accessory
BuffGH_2022,JKPFCNPL_03177,2784202,2784330,accessory
BuffGH_2022,JKPFCNPL_03178,2784586,2785161,accessory
BuffGH_2022,JKPFCNPL_03179,2785215,2785799,accessory
BuffGH_2022,JKPFCNPL_03180,2785977,2786303,accessory
BuffGH_2022,JKPFCNPL_03181,2786282,2786416,accessory
BuffGH_2022,JKPFCNPL_03182,2786620,2787639,accessory
BuffGH_2022,JKPFCNPL_03183,2788135,2789175,accessory
BuffGH_2022,JKPFCNPL_03184,2789238,2789366,accessory
BuffGH_2022,JKPFCNPL_03185,2789463,2790251,accessory
BuffGH_2022,JKPFCNPL_03186,2790639,2792411,accessory
BuffGH_2022,JKPFCNPL_03187,2792526,2792675,accessory
BuffGH_2022,JKPFCNPL_03188,2792864,2793046,accessory
BuffGH_2022,JKPFCNPL_03189,2793326,2793790,accessory
BuffGH_2022,JKPFCNPL_03190,2793750,2794157,accessory
BuffGH_2022,JKPFCNPL_03191,2794354,2794818,accessory
BuffGH_2022,JKPFCNPL_03192,2794781,2795233,accessory
BuffGH_2022,JKPFCNPL_03193,2795347,2795520,accessory
BuffGH_2022,JKPFCNPL_03194,2795517,2795774,accessory
BuffGH_2022,JKPFCNPL_03195,2795884,2796480,accessory
BuffGH_2022,JKPFCNPL_03196,2797084,2797203,accessory
BuffGH_2022,JKPFCNPL_03197,2797276,2797428,accessory
BuffGH_2022,JKPFCNPL_03198,2797506,2798165,accessory
BuffGH_2022,JKPFCNPL_03199,2798232,2798666,accessory
BuffGH_2022,JKPFCNPL_03200,2798758,2800083,accessory
BuffGH_2022,JKPFCNPL_03201,2800563,2800802,accessory
BuffGH_2022,JKPFCNPL_03202,2800945,2801805,accessory
BuffGH_2022,JKPFCNPL_03203,2801923,2803401,accessory
BuffGH_2022,JKPFCNPL_03204,2803545,2804585,accessory
BuffGH_2022,JKPFCNPL_03205,2804656,2805255,accessory
BuffGH_2022,JKPFCNPL_03206,2805334,2805987,accessory
BuffGH_2022,JKPFCNPL_03207,2806068,2806514,accessory
BuffGH_2022,JKPFCNPL_03208,2806733,2807170,accessory
BuffGH_2022,JKPFCNPL_03209,2807188,2807748,accessory
BuffGH_2022,JKPFCNPL_03210,2807857,2808081,accessory
BuffGH_2022,JKPFCNPL_03211,2808155,2808910,accessory
BuffGH_2022,JKPFCNPL_03212,2809291,2810238,accessory
BuffGH_2022,JKPFCNPL_03213,2810344,2811732,accessory
BuffGH_2022,JKPFCNPL_03214,2811743,2813275,accessory
BuffGH_2022,JKPFCNPL_03215,2813495,2813968,accessory
BuffGH_2022,JKPFCNPL_03216,2813951,2814271,accessory
BuffGH_2022,JKPFCNPL_03217,2814592,2815545,accessory
BuffGH_2022,JKPFCNPL_03218,2815760,2816173,accessory
BuffGH_2022,JKPFCNPL_03219,2816324,2817079,accessory
BuffGH_2022,JKPFCNPL_03220,2817076,2818374,accessory
BuffGH_2022,JKPFCNPL_03221,2818402,2819892,accessory
BuffGH_2022,JKPFCNPL_03222,2820080,2820367,accessory
BuffGH_2022,JKPFCNPL_03223,2820647,2821462,accessory
BuffGH_2022,JKPFCNPL_03224,2821659,2821958,accessory
BuffGH_2022,JKPFCNPL_03225,2822011,2822511,accessory
BuffGH_2022,JKPFCNPL_03226,2822812,2823174,accessory
BuffGH_2022,JKPFCNPL_03227,2823168,2823737,accessory
BuffGH_2022,JKPFCNPL_03228,2824041,2824370,accessory
BuffGH_2022,JKPFCNPL_03229,2824476,2826089,accessory
BuffGH_2022,JKPFCNPL_03230,2827227,2827400,accessory
BuffGH_2022,JKPFCNPL_03231,2827629,2829203,accessory
BuffGH_2022,JKPFCNPL_03232,2829296,2830336,accessory
BuffGH_2022,JKPFCNPL_03233,2830333,2831730,accessory
BuffGH_2022,JKPFCNPL_03234,2831791,2832015,accessory
BuffGH_2022,JKPFCNPL_03235,2832061,2832414,accessory
BuffGH_2022,JKPFCNPL_03236,2832411,2832638,accessory
BuffGH_2022,JKPFCNPL_03237,2832680,2833345,accessory
BuffGH_2022,JKPFCNPL_03238,2833510,2834511,accessory
BuffGH_2022,JKPFCNPL_03239,2835064,2836695,accessory
BuffGH_2022,JKPFCNPL_03240,2836689,2837654,accessory
BuffGH_2022,JKPFCNPL_03241,2838035,2838367,accessory
BuffGH_2022,JKPFCNPL_03242,2838451,2838768,accessory
BuffGH_2022,JKPFCNPL_03243,2838799,2839050,accessory
BuffGH_2022,JKPFCNPL_03244,2838954,2839724,accessory
BuffGH_2022,JKPFCNPL_03245,2839733,2840152,accessory
BuffGH_2022,JKPFCNPL_03246,2840436,2840699,accessory
BuffGH_2022,JKPFCNPL_03247,2840732,2841556,accessory
BuffGH_2022,JKPFCNPL_03248,2842036,2842251,accessory
BuffGH_2022,JKPFCNPL_03249,2842399,2842809,accessory
BuffGH_2022,JKPFCNPL_03250,2842841,2843254,accessory
BuffGH_2022,JKPFCNPL_03251,2843377,2843799,accessory
BuffGH_2022,JKPFCNPL_03252,2844368,2844814,accessory
BuffGH_2022,JKPFCNPL_03253,2844906,2845184,accessory
BuffGH_2022,JKPFCNPL_03254,2845335,2845607,accessory
BuffGH_2022,JKPFCNPL_03255,2845957,2846229,accessory
BuffGH_2022,JKPFCNPL_03256,2846480,2846833,accessory
BuffGH_2022,JKPFCNPL_03257,2846796,2847422,accessory
BuffGH_2022,JKPFCNPL_03258,2847862,2849070,accessory
BuffGH_2022,JKPFCNPL_03259,2848978,2849235,accessory
BuffGH_2022,JKPFCNPL_03260,2849418,2849864,accessory
BuffGH_2022,JKPFCNPL_03261,2850249,2850617,accessory
BuffGH_2022,JKPFCNPL_03262,2850683,2850997,accessory
BuffGH_2022,JKPFCNPL_03263,2850987,2851829,accessory
BuffGH_2022,JKPFCNPL_03264,2851839,2853095,accessory
BuffGH_2022,JKPFCNPL_03265,2853092,2854564,accessory
BuffGH_2022,JKPFCNPL_03266,2854865,2855692,accessory
BuffGH_2022,JKPFCNPL_03267,2855701,2856558,accessory
BuffGH_2022,JKPFCNPL_03268,2856580,2856828,accessory
BuffGH_2022,JKPFCNPL_03269,2857075,2858742,accessory
